"matterID","FirstHearingDate"
688,13/12/2014 0:00:00
689,18/5/2016 0:00:00
690,14/12/2011 0:00:00
691,6/5/2018 0:00:00
692,6/5/2018 0:00:00
693,19/11/2013 0:00:00
694,10/9/2014 0:00:00
695,18/4/2015 0:00:00
696,18/6/2019 0:00:00
697,14/5/2015 0:00:00
698,17/6/2017 0:00:00
699,
700,10/9/2014 0:00:00
701,7/4/2015 0:00:00
702,4/12/2014 0:00:00
703,25/5/2017 0:00:00
704,6/4/2014 0:00:00
705,25/11/2010 0:00:00
706,18/6/2019 0:00:00
707,20/11/2010 0:00:00
708,18/6/2019 0:00:00
709,27/11/2010 0:00:00
710,14/5/2016 0:00:00
711,20/11/2010 0:00:00
712,18/6/2019 0:00:00
713,7/7/2020 0:00:00
714,8/1/2015 0:00:00
715,3/12/2018 0:00:00
716,13/5/2019 0:00:00
717,31/12/2014 0:00:00
718,24/1/2010 0:00:00
719,10/3/2019 0:00:00
720,11/5/2019 0:00:00
721,12/5/2019 0:00:00
722,13/5/2019 0:00:00
723,18/6/2019 0:00:00
724,22/4/2020 0:00:00
725,29/3/2017 0:00:00
726,16/8/2014 0:00:00
727,3/4/2010 0:00:00
728,18/10/2014 0:00:00
729,27/8/2015 0:00:00
730,4/6/2015 0:00:00
731,18/1/2018 0:00:00
732,19/12/2016 0:00:00
733,18/5/2019 0:00:00
734,19/5/2019 0:00:00
735,18/5/2019 0:00:00
736,19/5/2019 0:00:00
737,14/2/2011 0:00:00
738,20/5/2019 0:00:00
739,25/9/2017 0:00:00
740,15/5/2019 0:00:00
741,5/3/2020 0:00:00
742,29/10/2015 0:00:00
743,27/7/2011 0:00:00
744,27/1/2016 0:00:00
745,22/12/2014 0:00:00
747,19/6/2014 0:00:00
748,23/11/2019 0:00:00
749,20/5/2015 0:00:00
750,20/5/2015 0:00:00
751,28/10/2017 0:00:00
752,18/6/2019 0:00:00
753,15/7/2012 0:00:00
754,22/5/2019 0:00:00
755,23/5/2019 0:00:00
756,19/5/2019 0:00:00
757,20/5/2019 0:00:00
758,11/4/2011 0:00:00
759,7/4/2014 0:00:00
760,24/11/2018 0:00:00
761,23/5/2019 0:00:00
762,19/5/2019 0:00:00
763,21/9/2020 0:00:00
764,20/5/2019 0:00:00
765,25/11/2018 0:00:00
766,21/5/2019 0:00:00
768,22/5/2019 0:00:00
769,18/5/2019 0:00:00
770,19/5/2019 0:00:00
771,18/6/2019 0:00:00
772,22/5/2019 0:00:00
773,26/5/2019 0:00:00
774,23/5/2019 0:00:00
775,21/5/2019 0:00:00
776,23/5/2019 0:00:00
777,27/4/2014 0:00:00
778,18/5/2019 0:00:00
779,11/7/2013 0:00:00
780,22/5/2019 0:00:00
781,18/5/2019 0:00:00
782,2/9/2013 0:00:00
783,2/9/2013 0:00:00
784,2/9/2013 0:00:00
785,19/5/2019 0:00:00
786,21/5/2019 0:00:00
787,3/9/2020 0:00:00
788,23/2/2017 0:00:00
789,11/4/2016 0:00:00
790,11/4/2016 0:00:00
791,26/5/2019 0:00:00
792,5/6/2018 0:00:00
793,29/5/2019 0:00:00
794,25/5/2019 0:00:00
795,26/5/2019 0:00:00
797,27/5/2019 0:00:00
798,29/5/2019 0:00:00
799,30/1/2017 0:00:00
800,30/5/2019 0:00:00
801,26/5/2019 0:00:00
802,1/4/2013 0:00:00
803,1/4/2013 0:00:00
804,27/5/2019 0:00:00
805,28/5/2019 0:00:00
806,14/10/2014 0:00:00
807,28/5/2019 0:00:00
808,29/5/2019 0:00:00
809,5/7/2015 0:00:00
810,27/5/2019 0:00:00
811,4/3/2013 0:00:00
812,2/2/2014 0:00:00
813,30/5/2019 0:00:00
815,31/12/2016 0:00:00
816,1/6/2019 0:00:00
817,21/8/2016 0:00:00
818,28/5/2019 0:00:00
819,8/6/2016 0:00:00
820,2/11/2014 0:00:00
821,4/3/2013 0:00:00
822,1/6/2019 0:00:00
823,28/5/2019 0:00:00
824,29/5/2019 0:00:00
825,22/12/2013 0:00:00
826,2/6/2019 0:00:00
828,10/6/2019 0:00:00
829,5/10/2016 0:00:00
830,4/3/2013 0:00:00
831,30/5/2019 0:00:00
832,13/2/2016 0:00:00
833,29/5/2019 0:00:00
834,30/5/2019 0:00:00
835,1/6/2019 0:00:00
836,4/11/2020 0:00:00
837,2/6/2019 0:00:00
838,30/5/2019 0:00:00
839,3/12/2011 0:00:00
840,4/5/2011 0:00:00
841,24/10/2016 0:00:00
842,1/2/2020 0:00:00
843,11/6/2019 0:00:00
844,11/6/2019 0:00:00
845,25/7/2016 0:00:00
846,14/6/2016 0:00:00
847,8/6/2019 0:00:00
848,11/6/2019 0:00:00
849,8/6/2019 0:00:00
850,26/2/2012 0:00:00
851,8/9/2015 0:00:00
852,9/6/2019 0:00:00
853,13/6/2019 0:00:00
855,15/2/2014 0:00:00
856,10/4/2013 0:00:00
857,8/6/2019 0:00:00
858,10/4/2013 0:00:00
859,9/6/2019 0:00:00
860,10/4/2013 0:00:00
861,10/6/2019 0:00:00
862,9/6/2019 0:00:00
863,15/1/2019 0:00:00
864,8/6/2019 0:00:00
865,17/9/2014 0:00:00
866,10/6/2019 0:00:00
867,3/6/2013 0:00:00
868,31/10/2020 0:00:00
869,30/4/2014 0:00:00
870,3/6/2018 0:00:00
871,8/6/2019 0:00:00
872,9/6/2019 0:00:00
873,1/7/2015 0:00:00
874,10/6/2019 0:00:00
875,24/8/2015 0:00:00
876,16/4/2011 0:00:00
877,11/6/2019 0:00:00
878,11/6/2019 0:00:00
879,24/9/2014 0:00:00
880,13/6/2019 0:00:00
881,11/6/2019 0:00:00
882,14/6/2014 0:00:00
883,13/6/2019 0:00:00
884,26/2/2012 0:00:00
885,12/7/2015 0:00:00
886,8/6/2019 0:00:00
887,9/6/2019 0:00:00
888,11/6/2019 0:00:00
889,18/6/2014 0:00:00
890,2/12/2018 0:00:00
891,9/11/2017 0:00:00
892,12/6/2019 0:00:00
893,8/6/2019 0:00:00
894,9/6/2019 0:00:00
895,11/6/2019 0:00:00
896,9/6/2019 0:00:00
897,12/6/2019 0:00:00
898,8/6/2019 0:00:00
899,16/9/2018 0:00:00
900,9/6/2019 0:00:00
901,10/6/2019 0:00:00
902,11/6/2019 0:00:00
903,8/6/2019 0:00:00
904,11/6/2019 0:00:00
905,13/6/2019 0:00:00
906,31/10/2017 0:00:00
907,10/6/2019 0:00:00
908,9/8/2012 0:00:00
909,27/11/2012 0:00:00
910,22/9/2018 0:00:00
911,6/8/2012 0:00:00
912,19/7/2016 0:00:00
914,18/3/2020 0:00:00
915,9/12/2019 0:00:00
916,9/6/2019 0:00:00
917,21/1/2012 0:00:00
918,9/6/2019 0:00:00
919,12/6/2019 0:00:00
920,14/12/2015 0:00:00
921,8/6/2014 0:00:00
922,12/6/2019 0:00:00
923,23/3/2014 0:00:00
924,12/6/2019 0:00:00
925,11/6/2019 0:00:00
926,12/6/2019 0:00:00
927,13/6/2019 0:00:00
928,19/6/2019 0:00:00
929,9/6/2019 0:00:00
930,16/10/2016 0:00:00
931,10/6/2019 0:00:00
932,11/6/2019 0:00:00
933,11/6/2019 0:00:00
934,12/6/2019 0:00:00
935,13/6/2019 0:00:00
936,
937,13/3/2014 0:00:00
938,8/6/2019 0:00:00
939,13/2/2016 0:00:00
940,9/6/2019 0:00:00
941,30/12/2015 0:00:00
942,11/6/2019 0:00:00
943,5/12/2015 0:00:00
944,3/3/2016 0:00:00
945,13/6/2019 0:00:00
946,20/3/2011 0:00:00
947,8/6/2019 0:00:00
948,9/6/2019 0:00:00
949,10/6/2019 0:00:00
950,12/6/2019 0:00:00
951,24/9/2014 0:00:00
952,9/6/2019 0:00:00
953,10/6/2019 0:00:00
954,11/6/2019 0:00:00
955,8/6/2019 0:00:00
956,16/11/2013 0:00:00
957,10/6/2019 0:00:00
958,13/6/2019 0:00:00
959,8/6/2019 0:00:00
960,10/6/2019 0:00:00
961,27/9/2016 0:00:00
962,11/6/2019 0:00:00
963,12/6/2019 0:00:00
964,8/6/2019 0:00:00
965,11/6/2019 0:00:00
966,8/6/2019 0:00:00
967,8/6/2019 0:00:00
968,24/1/2015 0:00:00
969,17/12/2017 0:00:00
970,20/12/2017 0:00:00
971,4/4/2019 0:00:00
972,19/5/2010 0:00:00
973,3/8/2014 0:00:00
974,12/6/2019 0:00:00
975,8/6/2019 0:00:00
976,9/6/2019 0:00:00
977,15/1/2019 0:00:00
978,10/6/2019 0:00:00
